"palabra","frecuencia.Var1","frecuencia.Freq","documento"
38,"acabábamo",1,"trad_gonzalez_garcia.pdf"
39,"acabado",4,"trad_gonzalez_garcia.pdf"
40,"acabar",28,"trad_gonzalez_garcia.pdf"
41,"academia",1,"trad_gonzalez_garcia.pdf"
42,"acalorado",1,"trad_gonzalez_garcia.pdf"
43,"acar",1,"trad_gonzalez_garcia.pdf"
44,"acaso",12,"trad_gonzalez_garcia.pdf"
45,"acceder",1,"trad_gonzalez_garcia.pdf"
46,"accidentar",1,"trad_gonzalez_garcia.pdf"
47,"acción",6,"trad_gonzalez_garcia.pdf"
48,"acechar",2,"trad_gonzalez_garcia.pdf"
49,"aceite",1,"trad_gonzalez_garcia.pdf"
50,"acelera",1,"trad_gonzalez_garcia.pdf"
51,"acelero",1,"trad_gonzalez_garcia.pdf"
52,"aceptable",1,"trad_gonzalez_garcia.pdf"
53,"aceptar",8,"trad_gonzalez_garcia.pdf"
54,"aceptara",1,"trad_gonzalez_garcia.pdf"
55,"aceptarar",1,"trad_gonzalez_garcia.pdf"
56,"acerca",6,"trad_gonzalez_garcia.pdf"
57,"acercándo",2,"trad_gonzalez_garcia.pdf"
58,"acercar",27,"trad_gonzalez_garcia.pdf"
59,"acerco",2,"trad_gonzalez_garcia.pdf"
60,"acero",1,"trad_gonzalez_garcia.pdf"
61,"achacar",2,"trad_gonzalez_garcia.pdf"
62,"acicalar",1,"trad_gonzalez_garcia.pdf"
63,"acogedor",5,"trad_gonzalez_garcia.pdf"
64,"acogir",1,"trad_gonzalez_garcia.pdf"
65,"acometer",1,"trad_gonzalez_garcia.pdf"
66,"acomodado",1,"trad_gonzalez_garcia.pdf"
67,"acompañado",1,"trad_gonzalez_garcia.pdf"
68,"acompañante",8,"trad_gonzalez_garcia.pdf"
69,"acompañar",9,"trad_gonzalez_garcia.pdf"
70,"aconsejar",1,"trad_gonzalez_garcia.pdf"
71,"acontecer",2,"trad_gonzalez_garcia.pdf"
72,"acontecimiento",2,"trad_gonzalez_garcia.pdf"
73,"acopio",1,"trad_gonzalez_garcia.pdf"
74,"acordar",3,"trad_gonzalez_garcia.pdf"
75,"acostar",3,"trad_gonzalez_garcia.pdf"
76,"acostumbra",1,"trad_gonzalez_garcia.pdf"
77,"acostumbrado",3,"trad_gonzalez_garcia.pdf"
78,"acostumbrar",2,"trad_gonzalez_garcia.pdf"
79,"acostumbro",1,"trad_gonzalez_garcia.pdf"
80,"acta",1,"trad_gonzalez_garcia.pdf"
81,"actividad",7,"trad_gonzalez_garcia.pdf"
82,"activo",5,"trad_gonzalez_garcia.pdf"
83,"acto",2,"trad_gonzalez_garcia.pdf"
84,"actual",2,"trad_gonzalez_garcia.pdf"
85,"actuar",5,"trad_gonzalez_garcia.pdf"
86,"acuciado",1,"trad_gonzalez_garcia.pdf"
87,"acude",1,"trad_gonzalez_garcia.pdf"
88,"acudí",1,"trad_gonzalez_garcia.pdf"
89,"acudir",7,"trad_gonzalez_garcia.pdf"
90,"acuerdo",2,"trad_gonzalez_garcia.pdf"
91,"acumular",2,"trad_gonzalez_garcia.pdf"
92,"adaptar",1,"trad_gonzalez_garcia.pdf"
93,"adecuadamente",1,"trad_gonzalez_garcia.pdf"
94,"adecuado",3,"trad_gonzalez_garcia.pdf"
95,"adelantado",1,"trad_gonzalez_garcia.pdf"
96,"adelantar",3,"trad_gonzalez_garcia.pdf"
97,"adelante",4,"trad_gonzalez_garcia.pdf"
98,"adelin",2,"trad_gonzalez_garcia.pdf"
99,"adentrándo",3,"trad_gonzalez_garcia.pdf"
100,"adentrar",5,"trad_gonzalez_garcia.pdf"
101,"adieu",1,"trad_gonzalez_garcia.pdf"
102,"adiós",7,"trad_gonzalez_garcia.pdf"
103,"administrador",1,"trad_gonzalez_garcia.pdf"
104,"admiración",1,"trad_gonzalez_garcia.pdf"
105,"admirar",1,"trad_gonzalez_garcia.pdf"
106,"admitar",1,"trad_gonzalez_garcia.pdf"
107,"admitir",3,"trad_gonzalez_garcia.pdf"
108,"admito",1,"trad_gonzalez_garcia.pdf"
109,"adoptado",1,"trad_gonzalez_garcia.pdf"
110,"adorable",11,"trad_gonzalez_garcia.pdf"
111,"adorado",3,"trad_gonzalez_garcia.pdf"
112,"adorar",1,"trad_gonzalez_garcia.pdf"
113,"adormecido",1,"trad_gonzalez_garcia.pdf"
114,"adorno",2,"trad_gonzalez_garcia.pdf"
115,"adquirir",2,"trad_gonzalez_garcia.pdf"
116,"aducir",1,"trad_gonzalez_garcia.pdf"
117,"adulto",1,"trad_gonzalez_garcia.pdf"
118,"adversidad",1,"trad_gonzalez_garcia.pdf"
119,"adverso",1,"trad_gonzalez_garcia.pdf"
120,"advertir",3,"trad_gonzalez_garcia.pdf"
121,"advierto",2,"trad_gonzalez_garcia.pdf"
122,"afamado",1,"trad_gonzalez_garcia.pdf"
123,"afanosamente",1,"trad_gonzalez_garcia.pdf"
124,"afectación",1,"trad_gonzalez_garcia.pdf"
125,"afecto",3,"trad_gonzalez_garcia.pdf"
126,"aferrar",1,"trad_gonzalez_garcia.pdf"
127,"afianzar",1,"trad_gonzalez_garcia.pdf"
128,"afición",1,"trad_gonzalez_garcia.pdf"
129,"afinar",1,"trad_gonzalez_garcia.pdf"
130,"afirmar",1,"trad_gonzalez_garcia.pdf"
131,"aflicción",1,"trad_gonzalez_garcia.pdf"
132,"afligido",1,"trad_gonzalez_garcia.pdf"
133,"afortunadamente",1,"trad_gonzalez_garcia.pdf"
134,"afortunado",6,"trad_gonzalez_garcia.pdf"
135,"afuerar",1,"trad_gonzalez_garcia.pdf"
136,"agarra",1,"trad_gonzalez_garcia.pdf"
137,"agarrar",1,"trad_gonzalez_garcia.pdf"
138,"agitación",2,"trad_gonzalez_garcia.pdf"
139,"agitar",3,"trad_gonzalez_garcia.pdf"
140,"agonizante",1,"trad_gonzalez_garcia.pdf"
141,"agosto",11,"trad_gonzalez_garcia.pdf"
142,"agot",1,"trad_gonzalez_garcia.pdf"
143,"agotado",3,"trad_gonzalez_garcia.pdf"
144,"agotar",1,"trad_gonzalez_garcia.pdf"
145,"agotarse",1,"trad_gonzalez_garcia.pdf"
146,"agraciado",2,"trad_gonzalez_garcia.pdf"
147,"agradable",8,"trad_gonzalez_garcia.pdf"
148,"agradar",5,"trad_gonzalez_garcia.pdf"
149,"agradecer",7,"trad_gonzalez_garcia.pdf"
150,"agradecimiento",3,"trad_gonzalez_garcia.pdf"
151,"agrandar",1,"trad_gonzalez_garcia.pdf"
152,"agravar",1,"trad_gonzalez_garcia.pdf"
153,"agrietado",1,"trad_gonzalez_garcia.pdf"
154,"agua",12,"trad_gonzalez_garcia.pdf"
155,"aguantar",2,"trad_gonzalez_garcia.pdf"
156,"aguantarer",1,"trad_gonzalez_garcia.pdf"
157,"aguardar",3,"trad_gonzalez_garcia.pdf"
158,"aguardo",1,"trad_gonzalez_garcia.pdf"
159,"agudeza",2,"trad_gonzalez_garcia.pdf"
160,"agudo",2,"trad_gonzalez_garcia.pdf"
161,"aguileño",1,"trad_gonzalez_garcia.pdf"
162,"aguja",1,"trad_gonzalez_garcia.pdf"
163,"agujero",2,"trad_gonzalez_garcia.pdf"
164,"ah",2,"trad_gonzalez_garcia.pdf"
165,"ahogado",1,"trad_gonzalez_garcia.pdf"
166,"ahogar",2,"trad_gonzalez_garcia.pdf"
167,"aire",10,"trad_gonzalez_garcia.pdf"
168,"aislamiento",2,"trad_gonzalez_garcia.pdf"
169,"ajamiento",1,"trad_gonzalez_garcia.pdf"
170,"ajena",2,"trad_gonzalez_garcia.pdf"
171,"ala",2,"trad_gonzalez_garcia.pdf"
172,"alabanza",2,"trad_gonzalez_garcia.pdf"
173,"alabar",3,"trad_gonzalez_garcia.pdf"
174,"alabaría",1,"trad_gonzalez_garcia.pdf"
175,"alambre",1,"trad_gonzalez_garcia.pdf"
176,"alar",1,"trad_gonzalez_garcia.pdf"
177,"alarde",1,"trad_gonzalez_garcia.pdf"
178,"alargar",2,"trad_gonzalez_garcia.pdf"
179,"albedrío",1,"trad_gonzalez_garcia.pdf"
180,"albergar",3,"trad_gonzalez_garcia.pdf"
181,"albergue",1,"trad_gonzalez_garcia.pdf"
182,"albert",78,"trad_gonzalez_garcia.pdf"
183,"alborotado",1,"trad_gonzalez_garcia.pdf"
184,"alcalde",3,"trad_gonzalez_garcia.pdf"
185,"alcanc",1,"trad_gonzalez_garcia.pdf"
186,"alcanzado",1,"trad_gonzalez_garcia.pdf"
187,"alcanzándo",1,"trad_gonzalez_garcia.pdf"
188,"alcanzar",15,"trad_gonzalez_garcia.pdf"
189,"alcurnia",1,"trad_gonzalez_garcia.pdf"
190,"aldeano",1,"trad_gonzalez_garcia.pdf"
191,"alegato",1,"trad_gonzalez_garcia.pdf"
192,"alegr",1,"trad_gonzalez_garcia.pdf"
193,"alegrar",7,"trad_gonzalez_garcia.pdf"
194,"alegre",14,"trad_gonzalez_garcia.pdf"
195,"alegría",41,"trad_gonzalez_garcia.pdf"
196,"alejado",6,"trad_gonzalez_garcia.pdf"
197,"alejamiento",1,"trad_gonzalez_garcia.pdf"
198,"alejar",13,"trad_gonzalez_garcia.pdf"
199,"alejar-",1,"trad_gonzalez_garcia.pdf"
200,"alemán",2,"trad_gonzalez_garcia.pdf"
201,"alemana",1,"trad_gonzalez_garcia.pdf"
202,"alguien",15,"trad_gonzalez_garcia.pdf"
203,"alguno",127,"trad_gonzalez_garcia.pdf"
204,"aliento",2,"trad_gonzalez_garcia.pdf"
205,"aligerar",1,"trad_gonzalez_garcia.pdf"
206,"alimentado",2,"trad_gonzalez_garcia.pdf"
207,"alimentar",3,"trad_gonzalez_garcia.pdf"
208,"alimento",4,"trad_gonzalez_garcia.pdf"
209,"aliviar",2,"trad_gonzalez_garcia.pdf"
210,"alivio",6,"trad_gonzalez_garcia.pdf"
211,"alma",53,"trad_gonzalez_garcia.pdf"
212,"almidonado",1,"trad_gonzalez_garcia.pdf"
213,"almohada",1,"trad_gonzalez_garcia.pdf"
214,"almuerzo",1,"trad_gonzalez_garcia.pdf"
215,"alojar",2,"trad_gonzalez_garcia.pdf"
216,"alpin",6,"trad_gonzalez_garcia.pdf"
217,"alrededor",41,"trad_gonzalez_garcia.pdf"
218,"alterado",1,"trad_gonzalez_garcia.pdf"
219,"alto",15,"trad_gonzalez_garcia.pdf"
220,"altura",3,"trad_gonzalez_garcia.pdf"
221,"alumbrar",3,"trad_gonzalez_garcia.pdf"
222,"ama",2,"trad_gonzalez_garcia.pdf"
223,"amabar",1,"trad_gonzalez_garcia.pdf"
224,"amabilidad",1,"trad_gonzalez_garcia.pdf"
225,"amable",3,"trad_gonzalez_garcia.pdf"
226,"amado",17,"trad_gonzalez_garcia.pdf"
227,"amainar",1,"trad_gonzalez_garcia.pdf"
228,"amándola",1,"trad_gonzalez_garcia.pdf"
229,"amanecer",6,"trad_gonzalez_garcia.pdf"
230,"amante",1,"trad_gonzalez_garcia.pdf"
231,"amar",17,"trad_gonzalez_garcia.pdf"
232,"amargamente",1,"trad_gonzalez_garcia.pdf"
233,"amargar",1,"trad_gonzalez_garcia.pdf"
234,"amargo",6,"trad_gonzalez_garcia.pdf"
235,"amarillo",4,"trad_gonzalez_garcia.pdf"
236,"ambiente",1,"trad_gonzalez_garcia.pdf"
237,"ambiguo",1,"trad_gonzalez_garcia.pdf"
238,"ámbito",1,"trad_gonzalez_garcia.pdf"
239,"ambos",8,"trad_gonzalez_garcia.pdf"
240,"ame",1,"trad_gonzalez_garcia.pdf"
241,"amedrento",1,"trad_gonzalez_garcia.pdf"
242,"amena",1,"trad_gonzalez_garcia.pdf"
243,"amenazador",1,"trad_gonzalez_garcia.pdf"
244,"amenazar",3,"trad_gonzalez_garcia.pdf"
245,"amiga",12,"trad_gonzalez_garcia.pdf"
246,"amigable",1,"trad_gonzalez_garcia.pdf"
247,"amigablemente",1,"trad_gonzalez_garcia.pdf"
248,"amigo",65,"trad_gonzalez_garcia.pdf"
249,"amistad",6,"trad_gonzalez_garcia.pdf"
250,"amistoso",1,"trad_gonzalez_garcia.pdf"
251,"amo",3,"trad_gonzalez_garcia.pdf"
252,"amoldar",1,"trad_gonzalez_garcia.pdf"
253,"amontonar",2,"trad_gonzalez_garcia.pdf"
254,"amor",38,"trad_gonzalez_garcia.pdf"
255,"amoroso",1,"trad_gonzalez_garcia.pdf"
256,"ampliar",1,"trad_gonzalez_garcia.pdf"
257,"amplio",6,"trad_gonzalez_garcia.pdf"
258,"amueblado",1,"trad_gonzalez_garcia.pdf"
259,"añader",3,"trad_gonzalez_garcia.pdf"
260,"añadir",6,"trad_gonzalez_garcia.pdf"
261,"ancho",4,"trad_gonzalez_garcia.pdf"
262,"anciano",17,"trad_gonzalez_garcia.pdf"
263,"andar",2,"trad_gonzalez_garcia.pdf"
264,"anfitriona",1,"trad_gonzalez_garcia.pdf"
265,"ángel",6,"trad_gonzalez_garcia.pdf"
266,"angustia",2,"trad_gonzalez_garcia.pdf"
267,"angustiado",1,"trad_gonzalez_garcia.pdf"
268,"angustiar",1,"trad_gonzalez_garcia.pdf"
269,"angustioso",1,"trad_gonzalez_garcia.pdf"
270,"anhelado",1,"trad_gonzalez_garcia.pdf"
271,"anhelar",2,"trad_gonzalez_garcia.pdf"
272,"anhelo",1,"trad_gonzalez_garcia.pdf"
273,"anillo",1,"trad_gonzalez_garcia.pdf"
274,"animado",1,"trad_gonzalez_garcia.pdf"
275,"animadversión",1,"trad_gonzalez_garcia.pdf"
276,"animalito",1,"trad_gonzalez_garcia.pdf"
277,"animar",3,"trad_gonzalez_garcia.pdf"
278,"animo",1,"trad_gonzalez_garcia.pdf"
279,"ánimo",11,"trad_gonzalez_garcia.pdf"
280,"aniquilar",1,"trad_gonzalez_garcia.pdf"
281,"annirar",1,"trad_gonzalez_garcia.pdf"
282,"año",20,"trad_gonzalez_garcia.pdf"
283,"anoche",1,"trad_gonzalez_garcia.pdf"
284,"anochecer",2,"trad_gonzalez_garcia.pdf"
285,"anodina",1,"trad_gonzalez_garcia.pdf"
286,"añorar",1,"trad_gonzalez_garcia.pdf"
287,"ansia",7,"trad_gonzalez_garcia.pdf"
288,"ansiar",3,"trad_gonzalez_garcia.pdf"
289,"ansir",2,"trad_gonzalez_garcia.pdf"
290,"antaño",3,"trad_gonzalez_garcia.pdf"
291,"anteayer",2,"trad_gonzalez_garcia.pdf"
292,"antecesor",1,"trad_gonzalez_garcia.pdf"
293,"antepasado",3,"trad_gonzalez_garcia.pdf"
294,"anterior",7,"trad_gonzalez_garcia.pdf"
295,"anterioridad",1,"trad_gonzalez_garcia.pdf"
296,"antesala",1,"trad_gonzalez_garcia.pdf"
297,"antigüedad",3,"trad_gonzalez_garcia.pdf"
298,"antiguo",6,"trad_gonzalez_garcia.pdf"
299,"antipático",1,"trad_gonzalez_garcia.pdf"
300,"antítesis",1,"trad_gonzalez_garcia.pdf"
301,"antojo",1,"trad_gonzalez_garcia.pdf"
302,"anunciar",2,"trad_gonzalez_garcia.pdf"
303,"apacible",1,"trad_gonzalez_garcia.pdf"
304,"apaciguar",1,"trad_gonzalez_garcia.pdf"
305,"apaciguo",1,"trad_gonzalez_garcia.pdf"
306,"apagado",4,"trad_gonzalez_garcia.pdf"
307,"apagar",2,"trad_gonzalez_garcia.pdf"
308,"apañar",1,"trad_gonzalez_garcia.pdf"
309,"apareced",1,"trad_gonzalez_garcia.pdf"
310,"aparecer",10,"trad_gonzalez_garcia.pdf"
311,"aparentar",3,"trad_gonzalez_garcia.pdf"
312,"aparición",4,"trad_gonzalez_garcia.pdf"
313,"apariencia",4,"trad_gonzalez_garcia.pdf"
314,"apartar",3,"trad_gonzalez_garcia.pdf"
315,"apartaría",1,"trad_gonzalez_garcia.pdf"
316,"aparto",1,"trad_gonzalez_garcia.pdf"
317,"apasionadamente",2,"trad_gonzalez_garcia.pdf"
318,"apasionado",3,"trad_gonzalez_garcia.pdf"
319,"apasionamiento",2,"trad_gonzalez_garcia.pdf"
320,"ape",1,"trad_gonzalez_garcia.pdf"
321,"apear",1,"trad_gonzalez_garcia.pdf"
322,"apena",1,"trad_gonzalez_garcia.pdf"
323,"apenas",13,"trad_gonzalez_garcia.pdf"
324,"apertura",1,"trad_gonzalez_garcia.pdf"
325,"apetecer",2,"trad_gonzalez_garcia.pdf"
326,"apetito",1,"trad_gonzalez_garcia.pdf"
327,"ápice",1,"trad_gonzalez_garcia.pdf"
328,"aplastar",2,"trad_gonzalez_garcia.pdf"
329,"aplicadamente",1,"trad_gonzalez_garcia.pdf"
330,"aplicar",1,"trad_gonzalez_garcia.pdf"
331,"apliquer",1,"trad_gonzalez_garcia.pdf"
332,"apoderándo",1,"trad_gonzalez_garcia.pdf"
333,"apoderar",3,"trad_gonzalez_garcia.pdf"
334,"aportar",5,"trad_gonzalez_garcia.pdf"
335,"aporto",1,"trad_gonzalez_garcia.pdf"
336,"aposento",1,"trad_gonzalez_garcia.pdf"
337,"apoyado",1,"trad_gonzalez_garcia.pdf"
338,"apoyar",2,"trad_gonzalez_garcia.pdf"
339,"apoyo",1,"trad_gonzalez_garcia.pdf"
340,"apreciar",5,"trad_gonzalez_garcia.pdf"
341,"aprecie",1,"trad_gonzalez_garcia.pdf"
342,"aprecio",1,"trad_gonzalez_garcia.pdf"
343,"aprender",1,"trad_gonzalez_garcia.pdf"
344,"apresar",1,"trad_gonzalez_garcia.pdf"
345,"apresuradamente",1,"trad_gonzalez_garcia.pdf"
346,"apresurar",2,"trad_gonzalez_garcia.pdf"
347,"apretado",1,"trad_gonzalez_garcia.pdf"
348,"apretándo",1,"trad_gonzalez_garcia.pdf"
349,"apretar",7,"trad_gonzalez_garcia.pdf"
350,"apretarse",2,"trad_gonzalez_garcia.pdf"
351,"apretón",1,"trad_gonzalez_garcia.pdf"
352,"aprieto",1,"trad_gonzalez_garcia.pdf"
353,"apropiado",1,"trad_gonzalez_garcia.pdf"
354,"aprovechar",1,"trad_gonzalez_garcia.pdf"
355,"aproximadamente",3,"trad_gonzalez_garcia.pdf"
356,"aproximo",1,"trad_gonzalez_garcia.pdf"
357,"aprr",1,"trad_gonzalez_garcia.pdf"
358,"aprueba",1,"trad_gonzalez_garcia.pdf"
359,"apuntar",1,"trad_gonzalez_garcia.pdf"
360,"apurar",1,"trad_gonzalez_garcia.pdf"
361,"apuro",2,"trad_gonzalez_garcia.pdf"
362,"aquejado",1,"trad_gonzalez_garcia.pdf"
363,"aquél",4,"trad_gonzalez_garcia.pdf"
364,"aquélla",2,"trad_gonzalez_garcia.pdf"
365,"aquéllo",1,"trad_gonzalez_garcia.pdf"
366,"ara",1,"trad_gonzalez_garcia.pdf"
367,"arado",3,"trad_gonzalez_garcia.pdf"
368,"árbol",16,"trad_gonzalez_garcia.pdf"
369,"arbusto",1,"trad_gonzalez_garcia.pdf"
370,"arcilla",2,"trad_gonzalez_garcia.pdf"
371,"arco",5,"trad_gonzalez_garcia.pdf"
372,"arder",4,"trad_gonzalez_garcia.pdf"
373,"ardiente",7,"trad_gonzalez_garcia.pdf"
374,"ardor",1,"trad_gonzalez_garcia.pdf"
375,"arena",2,"trad_gonzalez_garcia.pdf"
376,"argumentar",1,"trad_gonzalez_garcia.pdf"
377,"argumento",4,"trad_gonzalez_garcia.pdf"
378,"arindal",6,"trad_gonzalez_garcia.pdf"
379,"arma",3,"trad_gonzalez_garcia.pdf"
380,"armado",1,"trad_gonzalez_garcia.pdf"
381,"armar",7,"trad_gonzalez_garcia.pdf"
382,"armin",7,"trad_gonzalez_garcia.pdf"
383,"armonía",6,"trad_gonzalez_garcia.pdf"
384,"armonioso",2,"trad_gonzalez_garcia.pdf"
385,"armonizar",1,"trad_gonzalez_garcia.pdf"
386,"arnarth",1,"trad_gonzalez_garcia.pdf"
387,"aroma",2,"trad_gonzalez_garcia.pdf"
388,"aromático",1,"trad_gonzalez_garcia.pdf"
389,"arpa",2,"trad_gonzalez_garcia.pdf"
390,"arquear",1,"trad_gonzalez_garcia.pdf"
391,"arraigado",1,"trad_gonzalez_garcia.pdf"
392,"arranque",1,"trad_gonzalez_garcia.pdf"
393,"arrasar",1,"trad_gonzalez_garcia.pdf"
394,"arrastrándo",1,"trad_gonzalez_garcia.pdf"
395,"arrastrar",4,"trad_gonzalez_garcia.pdf"
396,"arrastro",1,"trad_gonzalez_garcia.pdf"
397,"arrebatándo",1,"trad_gonzalez_garcia.pdf"
398,"arrebatar",2,"trad_gonzalez_garcia.pdf"
399,"arrebater",1,"trad_gonzalez_garcia.pdf"
400,"arrebato",1,"trad_gonzalez_garcia.pdf"
401,"arrebol",1,"trad_gonzalez_garcia.pdf"
402,"arreciar",1,"trad_gonzalez_garcia.pdf"
403,"arreglado",1,"trad_gonzalez_garcia.pdf"
404,"arreglar",2,"trad_gonzalez_garcia.pdf"
405,"arrepiento",1,"trad_gonzalez_garcia.pdf"
406,"arriba",4,"trad_gonzalez_garcia.pdf"
407,"arrodillado",1,"trad_gonzalez_garcia.pdf"
408,"arrodillar",4,"trad_gonzalez_garcia.pdf"
409,"arrogancia",1,"trad_gonzalez_garcia.pdf"
410,"arrogante",1,"trad_gonzalez_garcia.pdf"
411,"arrojándo",2,"trad_gonzalez_garcia.pdf"
412,"arrojar",6,"trad_gonzalez_garcia.pdf"
413,"arrojr",4,"trad_gonzalez_garcia.pdf"
414,"arrollo",1,"trad_gonzalez_garcia.pdf"
415,"arroyo",2,"trad_gonzalez_garcia.pdf"
416,"arrugar",1,"trad_gonzalez_garcia.pdf"
417,"arruinar",1,"trad_gonzalez_garcia.pdf"
418,"arrullo",1,"trad_gonzalez_garcia.pdf"
419,"arte",5,"trad_gonzalez_garcia.pdf"
420,"arteria",1,"trad_gonzalez_garcia.pdf"
421,"artesano",1,"trad_gonzalez_garcia.pdf"
422,"artilugio",1,"trad_gonzalez_garcia.pdf"
423,"artista",2,"trad_gonzalez_garcia.pdf"
424,"artístico",2,"trad_gonzalez_garcia.pdf"
425,"asaltar",2,"trad_gonzalez_garcia.pdf"
426,"asar",1,"trad_gonzalez_garcia.pdf"
427,"ascender",5,"trad_gonzalez_garcia.pdf"
428,"ascendí",1,"trad_gonzalez_garcia.pdf"
429,"asegurar",4,"trad_gonzalez_garcia.pdf"
430,"aseguro",1,"trad_gonzalez_garcia.pdf"
431,"asesinándo",1,"trad_gonzalez_garcia.pdf"
432,"asesinar",2,"trad_gonzalez_garcia.pdf"
433,"asesinato",1,"trad_gonzalez_garcia.pdf"
434,"asesino",3,"trad_gonzalez_garcia.pdf"
435,"asestar",2,"trad_gonzalez_garcia.pdf"
436,"asiento",1,"trad_gonzalez_garcia.pdf"
437,"asignación",1,"trad_gonzalez_garcia.pdf"
438,"asignar",1,"trad_gonzalez_garcia.pdf"
439,"asistente",1,"trad_gonzalez_garcia.pdf"
440,"asistir",1,"trad_gonzalez_garcia.pdf"
441,"asolado",1,"trad_gonzalez_garcia.pdf"
442,"asomar",2,"trad_gonzalez_garcia.pdf"
443,"asombrado",1,"trad_gonzalez_garcia.pdf"
444,"asombrar",2,"trad_gonzalez_garcia.pdf"
445,"asombroso",1,"trad_gonzalez_garcia.pdf"
446,"aspecto",4,"trad_gonzalez_garcia.pdf"
447,"aspirábar",1,"trad_gonzalez_garcia.pdf"
448,"aspiración",1,"trad_gonzalez_garcia.pdf"
449,"aspiro",1,"trad_gonzalez_garcia.pdf"
450,"astucio",1,"trad_gonzalez_garcia.pdf"
451,"astuta",1,"trad_gonzalez_garcia.pdf"
452,"asunto",10,"trad_gonzalez_garcia.pdf"
453,"asusta",1,"trad_gonzalez_garcia.pdf"
454,"asustado",3,"trad_gonzalez_garcia.pdf"
455,"asustar",2,"trad_gonzalez_garcia.pdf"
456,"asusto",1,"trad_gonzalez_garcia.pdf"
457,"atacar",2,"trad_gonzalez_garcia.pdf"
458,"ataj",2,"trad_gonzalez_garcia.pdf"
459,"atajar",1,"trad_gonzalez_garcia.pdf"
460,"ataque",4,"trad_gonzalez_garcia.pdf"
461,"atar",1,"trad_gonzalez_garcia.pdf"
462,"atardecer",2,"trad_gonzalez_garcia.pdf"
463,"ataúd",2,"trad_gonzalez_garcia.pdf"
464,"ataviado",1,"trad_gonzalez_garcia.pdf"
465,"atemorizar",2,"trad_gonzalez_garcia.pdf"
466,"atenazar",1,"trad_gonzalez_garcia.pdf"
467,"atención",9,"trad_gonzalez_garcia.pdf"
468,"atender",4,"trad_gonzalez_garcia.pdf"
469,"atento",2,"trad_gonzalez_garcia.pdf"
470,"atormentado",1,"trad_gonzalez_garcia.pdf"
471,"atormentar",2,"trad_gonzalez_garcia.pdf"
472,"atra",1,"trad_gonzalez_garcia.pdf"
473,"atracción",1,"trad_gonzalez_garcia.pdf"
474,"atracir",1,"trad_gonzalez_garcia.pdf"
475,"atractivo",5,"trad_gonzalez_garcia.pdf"
476,"atraer",8,"trad_gonzalez_garcia.pdf"
477,"atrás",2,"trad_gonzalez_garcia.pdf"
478,"atravesar",11,"trad_gonzalez_garcia.pdf"
479,"atreve",3,"trad_gonzalez_garcia.pdf"
480,"atrever",10,"trad_gonzalez_garcia.pdf"
481,"atrevo",2,"trad_gonzalez_garcia.pdf"
482,"atribuir",1,"trad_gonzalez_garcia.pdf"
483,"atril",1,"trad_gonzalez_garcia.pdf"
484,"atrincherar",1,"trad_gonzalez_garcia.pdf"
485,"atronador",3,"trad_gonzalez_garcia.pdf"
486,"atronadora",1,"trad_gonzalez_garcia.pdf"
487,"aturdido",1,"trad_gonzalez_garcia.pdf"
488,"audacia",1,"trad_gonzalez_garcia.pdf"
489,"audaz",1,"trad_gonzalez_garcia.pdf"
